organization,role,phone,email,website,hours
"Republic Services","Curbside recycling and trash provider","812-298-2100","","republicservices.com","Mon-Fri 6am-6pm; Sat 8am-12pm"
"Vigo County Solid Waste Management District","Special waste disposal, hazardous materials, e-waste","812-231-4451","info@vigocountysolidwaste.org","vigocountysolidwaste.org","Tue-Wed 9am-3pm; 1st Sat 8am-12pm"
"City of Terre Haute Street Department","Municipal drop-off center, leaf collection, bulk pickup","812-244-2901","","terrehaute.in.gov","Mon-Fri 8am-4pm"
"City of Terre Haute Mayor's Office","City services and complaints","812-244-2301","mayorsoffice@terrehaute.in.gov","terrehaute.in.gov","Mon-Fri 8am-5pm"
"Terre Haute City Hall","General city information","812-232-4000","","terrehaute.in.gov","Mon-Fri 8am-5pm"
"ISU Recycling Center","Glass recycling, public drop-off","812-237-3088","","indstate.edu/facilities","Mon-Fri 6am-5pm; Sat 6am-12pm"
"Keep Terre Haute Beautiful","Community cleanups and education","812-232-4000","","terrehaute.in.gov","By appointment"
"Vigo County Health Department","Environmental health and illegal dumping","812-462-3450","health@vigocounty.in.gov","vigocounty.in.gov/health","Mon-Fri 8am-4:30pm"
"Indiana Department of Environmental Management","State environmental regulations","800-451-6027","","idem.in.gov","Mon-Fri 8am-4:30pm"
"Recycle Force","Regional recycling information","317-532-1367","","recycleforce.org","Mon-Fri 8am-5pm"
"Earth 911","National recycling directory","","","earth911.com","24/7 online"
"Call 2 Haul","Bulk item pickup service","812-298-2100","","republicservices.com","Mon-Fri 6am-6pm"
"Ray's Trash Service","Alternative waste hauler","812-299-4049","","raystrashservice.com","Mon-Fri 7am-4pm"
"Advanced Disposal/Waste Management","Commercial waste services","812-234-1608","","wm.com","Mon-Fri 7am-5pm"
"Wabash Valley Goodwill","Donation and recycling","812-235-1827","","goodwillvalley.org","Mon-Sat 9am-9pm; Sun 12pm-6pm"
"Salvation Army Terre Haute","Donation services","812-232-4081","","salvationarmyindiana.org","Mon-Sat 9am-5pm"
"Catholic Charities Terre Haute","Donation and assistance","812-232-1447","","ccthin.org","Mon-Fri 9am-4pm"
"Habitat for Humanity ReStore","Building materials recycling","812-232-9372","","wvhabitat.org","Tue-Fri 9am-5pm; Sat 9am-3pm"
"Best Buy Terre Haute","Electronics recycling","812-298-2122","","bestbuy.com/recycling","Mon-Sat 10am-8pm; Sun 11am-7pm"
"Batteries Plus Bulbs","Battery and bulb recycling","812-917-4440","","batteriesplus.com","Mon-Sat 8am-8pm; Sun 10am-6pm"
